"","fb_data9.message"
"11","#94640번째울림
2017. 09. 20. 오전
<술..>
나름 맥주 애호가입니다.
저는 IPA를 되게 좋아하는데 지금까지 먹은 것들 정리해볼까 해요. 참고로 저는 센거 좋아해요.

최상위권
브루독 잭해머 - 묵직하고 홉향이 강해요. 더블아이피에이 중에서는 최고인 것 같아요. 강한게 땡기는 날 추천.
구스아일랜드 구스 IPA - 제 기준 최고. 이것도 꽤 강한편이에요. 홉향 강해요
발라스트포인트 스컬핀 - 다들 아시는 IPA 정석. 

상위권
발라스트포인트 빅아이 - 스컬핀보다 좀 더 홉향이 강해요. 근데 끝맛이 좀 덜 깔끔.
로스트코스트 이쿼녹스IPA - 최근에 먹어봤는데 진짜 맛있어요. 몇 번 더 검증하면 최상위권으로 갈지도. 밸런스가 되게 좋아요.
크래프트웍스탭하우스 지리산IPA - 저렴한거에 비해 굉장히 훌륭해요. 쓴맛이 잘 잡혀 있어요

보통
브루독 펑크IPA - 스컬핀 다운그레이드 버전? 밸런스 좋은데 좀 약해요. 
스톤브루어리 스톤IPA - 좀 텁텁해요. 
플래티넘맥주 플래티넘IPA - 가성비는 원탑이 아닐까 합니다(물론 밖에서 먹는 생맥주 중에서요)

보통 이하
로스트코스트 인디카 - 너무 가벼워요.
발라스트포인트 도라도 - 엄청 세요. 좀 과해요.
핸드앤몰트 슬로우IPA - 너무 약해요. 좀 심하게 약해요.
버드나무브루어리 하슬라IPA - 맛이 잘 기억 안나는데, 별로라고 생각했어요. ㅜㅜ

그리고 각종 펍에서 먹었던 수많은 IPA가 있는데(더테이블, 데블스도어 등)대부분 별로였어요. 다들 깊이가 없어요 맛에. 홉만 때려 박아서 첫만만 좋고 뒤에는 밍밍한 물맛나는 애들이 대부분이더라고요.
그리고 어디서단 이름 정확하게 언급 안하고 'IPA'라고 파는 애들은 그냥 다... 기대하지 않아야 하는 듯 합니다.

그냥 먹던 것 먹고, 아무 펍에서 만드는 아무 맥주나 마시다 보니 아직 유명한 것들도 다 못머겅 봤네요 ㅠㅠ
맥주 애호가분들 IPA 평좀 부탁드려요. 특히 제취향이랑 비슷하신 분들이 계시다면 꼭좀..! 맛있는 맥주가 너무 먹고 싶어요. 

+ 다음에는 바이젠으로 또 써봐야겠어요"
"12","#94639번째울림
2017. 09. 20. 오전
<사는얘기>
저희 실험 조교님이 너무 좋아요ㅠㅠ!!!! 레포트 쓰는 거 정말 싫은데 조교님때문에 열심히 씁니당! 조교님이 너무 멋있는데 어떡하죠????!?!"
"13","#94638번째울림
2017. 09. 20. 오전
<질문/건의/의견>
문제) 다음중 A의 생각을 서술하시오.

1. A 와 B 는 썸을 타고 있었다.
2. 몇번 만난후 B 는 A 에게 고백을 하였으나, A가 아직은 좀 더 만나봐야 할 것 같다고 거절함
3. 그렇게 몇번 더 만난후 A가 B에게, B가 너무 편하게만 보인다며 그만 만나자고함
4. 바로 다음 새벽, A가 B에게 '3번'말을 하고나니 사실은 B를 좋아하는것 같았다며 몇번 다시 만나보자고 함"
"14","#94637번째울림
2017. 09. 20. 오후
<학교>
공식 식권판매기에 사진 올릴 때 메인 메뉴만말고 제발 사이드 메뉴도 같이 찍어줬으면...ㅠㅠㅠ 대체 메뉴 진열대는 왜있는거야ㅠㅠㅠㅠㅠ
그리고 싼맛에 공식 먹었던건데 많게는 천원까지 가격이 올라버리면서 맛은 그대로면...  답은 알밥과 브리또다

행컵은 왜 사라진걸까...ㅠㅠㅜㅠㅜㅜㅜㅜㅜㅜㅠㅠ"
"15","#94636번째울림
2017. 09. 20. 오후
<사는얘기>
PC방에서 소리지르지 말아주세요ㅠㅠㅠ어제 저녁에 게임하는데 옆자린지 건너편자린지 여성분이 소리를 지르고 큰 소리로 욕하고 (남자를) 성희롱하시던데 옆에서 듣기에도 너무 무서웠습니다...뭐 상대방이 먼저 시비를 걸었을 수도 있는데 소리를 지르는건ㅠㅠㅠㅠㅠ주변에 다른 사람도ㅠ있다는걸 생각해주세요"
"16","#94635번째울림
2017. 09. 20. 오전
<사랑>
잊으라고들 하더라, 잊어보려고 노력이라도 하라고. 근데 이제 네가 기억나서 아픈것보다 너를 기억할 수 있어서 행복한 쪽이 더 큰거 같다. 오늘은 너의 환화게 웃은 순진 무구한 그 모습이 떠오른다. 그걸 볼 수 없다는건 물론 아프다. 그치만 그 모습이 내 머리속에서 그려져서 잠시 너를 그리워 할 수 있음에 감사하고, 죄악일지 모르지만 그 웃음을 다시 보기위해 이세상을 살아가고싶다. 잊으라고들 하더라, 이제는 포기하라고. 이젠 그 말들에 당당하게 말할 수 있을거 같다. ""싫어."""
"17","#94634번째울림
2017. 09. 20. 오전
<사랑>
 나를 항상 소중하게 여기고 아껴주는 사람이있었다. 연락이 안 되면 걱정해주고, 내가 돈이 없을 때는 밥 한번 사주겠다고 굳이 학교까지와서 굶지 말라고 밥을 사줬다. 하지만 나는 그의 소중함을 모르고, 항상 내 곁에 있을거라는 착각에 그를 막대했다. 그에게 수많은 상처를입히고, 어리다는 이유하나로 '생각 좀 하고 살아' 라는 말을 그에게 수도 없이 했었다. 나를 소중하게 대하는 사람의 정성은 무시하고, 인맥을 넓히기 위해 나에게 관심조차 없는 사람들에게 잘해줬다... 너무 멍청한 짓이다. 내가 조금 더 노력하고 사랑해줬다면 지금은 좋은 결과가 있었을텐데... 
 사랑하기 때문에 집착하게 된다는 것을 이제 깨달았다. 그토록 싫었던 집착이 지금은 그 집착이 그립고, 그가 집착하는 만큼 내가 그만큼 사랑받고있었다는 것을 이제 알았다. 나는 나의 생활과 인맥이 전부라고 생각했었는데, 그에게는 내가 전부라는 것은 왜 이제 알았을까... 이제미안해해도 아무 소용 없고 잘해주지못해 너무 후회된다."
"18","#94633번째울림
2017. 09. 20. 오전
<사랑>
네가 에피톤 프로젝트의 ""나는 그 사람이 아프다""란 곡을 좋아한다고 말했을 때, 온몸의 피가 증발하듯 끓었다가 순식간에 식는 기분이 들었다. 나도 그 곡을 좋아한다거나 따위의 이유는 아니었다. 에피톤 프로젝트는 그날 처음 들어본 가수였고, 따라서 억지로라도 공감대를 형성하는 건 애초에 불가능했다. 그냥 ""나는 그 사람이 아프다""란 곡명에 뒷통수를 얻어맞은 것처럼 얼얼해졌다. 내게는 네가 바로 아파 마지않는 '그 사람'이기 때문이었다.

사실 아프다는 말로는 부족했다. 널 보면 가슴을 도려내어 얼음물을 부은 것처럼 심장이 비명을 질러댔다. 고통에서 벗어난다는 건 감히 상상할 수 없는 정도였다. 그나마 시큰함을 달래는 방법은 최선을 다하는 것이었다. 네게 최선을 다하면 실낱같은 가능성을 늘릴 수 있지 않을까. 그리고 최선을 다함으로써 고통에서 눈을 돌릴 수도 있지 않을까. 그래, 최선을 다해야겠다. 누구보다도 너를 위하는 사람이 되겠노라 다짐했다.

그 뒤로 나는 더주지 못 하여 안달하는 사람이 되었다. 마치 김형중의 ""그녀가 웃잖아"" 노래 속 주인공처럼. 간을 내줄 것처럼, 쓸개를 다 빼줄 것처럼. 자신있게 말할 수 있어. 나보다 널 위해 노력하는 사람은 없어. 그러니까 널 울릴 사람 말고 나한테 와. 세상 누구보다도 행복하게 해줄 테니까. 라는 걸 증명하려 온몸으로, 온정신으로 애를 짜냈다.

오랜 시간이 흐른 후에야 알았다. 그건 절대 사랑이라고 말할 수 없는 조악한 것임을. 그건 결코 네 행복을 위해서가 아니었다. 내 마음의 알량한 평안을 얻으려던 이기적이고 비겁한 술수일 뿐이었다. 내 두려움을 지운답시고 네게 마음의 짐을 지우고 있었다는 걸 그때는 몰랐다. 내 고통에만 집중하느라 네가 뭘 원하는지 관심도 없던 나에게, 널 행복하게 할 능력은커녕 그 자격이 있을 리도 만무하다. 

사랑은 노력이나 간절함으로 이루는 것이 아니다. ""내가 널 위해 이렇게까지 했는데!""라고 외친들, 상대는 그걸 단 한번도 바란 적 없을 수 있다. 내가 뭘 원하는지보다 상대가 진정으로 원하는 무언가에 초점을 맞추는 게 중요하다. 이 사실을 나는 너무나도 늦게 깨달아버렸다. 당신은 조금이라도 일찍 깨달을 수 있었음 좋겠다.

미안해."
"19","#94632번째울림
2017. 09. 20. 오전
<사는얘기>
하
온갖 짜잘한 것 하나하나에도 
서운해하는 내가 짜증난다."
"20","#94631번째울림
2017. 09. 19. 오후
<사는얘기>
안녕하세요. 율전의 막학기 학생입니다. 
오늘 저녁에 겪은 일입니다. 저는 오늘도 고난한 하루를 마무리함과 동시에 해야할 일을 가슴 가득 안고 터덜터덜 집으로 향하던 중이었습니다. 저는 밍기뉴 앞을 지나고 있었는데, 어떤 여학생이 쪽문 계단을 내려오는 것을 보고 저는 그 학생에게서 눈을 뗄 수가 없었습니다. 그 학생은 아이스크림, 메로나를 먹고 있었는데, 저는 지금껏 사반세기 남짓한 시간을 살아왔음에도 불구하고, 그렇게 메로나를 맛있게 먹는 사람은 단 한 번도 본 적이 없기 때문입니다. 저 역시 많은 메로나를 먹어왔고, 주변 사람들이 메로나를 먹는 모습도 보아왔지만 그 학생만큼 극단적으로 메로나를 즐기는 사람은 여태껏 본 적이 없었습니다. 저는 그 학생을 뚫어지게 쳐다보며 감탄하다가 저도 메로나를 먹기로 하였습니다. 편의점에 들어가 메로나를 고르다가 그제서야 깨달았습니더. 조금 전의 저를 객관적으로 볼 때 저는 지나가던 여학생을 음흉한 눈길로 바라보던 수상한 사람에 다름아니었던 것입니다. 
뜻 밖의 변태에 당황하셨을, 오늘 저녁 메로나를 먹으며 쪽문을 내려오시던 그 여학생에게 사과드립니다. 메로나는 저도 맛있게 먹었습니다."
"21","#94630번째울림
2017. 09. 19. 오후
<사는얘기>
하..... 진짜 어이가 없어서 올립니다. 어떻게 사람이 그럴수 있죠? 그런짓을 하고도 얼굴을 들고 다닌다는것이 놀랍습니다. 바람, 성매매주도라고하긴 그렇지만 친구 생일에 돈모아서 사창가 보내기, 남자기숙사에 미팅갔다가 여자데리고 오기...... 다 쓰기 귀찮습니다. 이런 강아지같은 친구랑 지금까지 같이 말섞었다는것도 어이가 없고 믿을만한 사람이 없는것 같습니다. 사람 믿는것 못하겠네요. 친구가 그렇게 싫어하던 담배 피는거 볼때마다 가슴이 미어집니다. 평소에 웃고 붙임성 있다고 함부로 친구먹어선 안되겠습니다. 우리모두 사람 잘 걸러서 친해집시다. 특히 연인관계는 더욱 그렇고요."
"22","#94629번째울림
2017. 09. 20. 오전
<사는얘기>
룸메야 새벽1시에 육성으로 엄마랑 전화하면 어떡하니 너빼고 다 자는데ㅠ 깻자나ㅠ 그것도 너가 먼저걸어서.. 새벽한시고 두사람이 자는데 밖에서 통화하고오는게  예의아니니.. 너같으면반성하구 앞으로그러지말아죠 잘때는ㅠ"
"23","#94628번째울림
2017. 09. 20. 오전
<그 외 (위의 카테고리 외 기타 등등)>
어...그 욕 관련 게시글 댓글을 보니 제가 생각했던 분위기와 달라서 좀 충격이네요. 'ㅂㅅ'는 장애인협회 측에서 쓰지 말아달라고 한 욕으로 알고 있습니다.

물론 많은 우리나라 욕(사실 온 세계가 그렇죠)에 다분히 성적 코드나 약자 비하가 뿌리박혀 있어 쉽게 바꿀수 없는 것은 사실이지만, 그 단어가 원래 가리키던 대상이 쓰지 말라 부탁하면 어느 정도는 노력해야 하는 거 아닐까요? 장애를 가진 친구가 해당 욕을 쓰지 말라고 하면 내 마음인데 네가 뭔 상관이냐 하고 대놓고 앞에서 내뱉을 건가요? 이건 지나친 피시함도 아닌 것 같은데..."
"24","#94627번째울림
2017. 09. 20. 오전
<질문/건의/의견>
오버워치하다가 여자라고 겪는 그런상황들에서 반격할 말 추천좀 해주세요. 승질나서 겜을 못하겠음...뭐라해야 입다물게할수있을까요ㅠ 그런사람있으면 그사람 마이크끄긴하는데 끄기전에 한마디하고 끌라구여. 그냥 욕으론 도무지 후련하지가않아!!!악!!!!!
1. 여자니까 탱이나 딜하지말고 힐러해라
2. 그냥 욕 이유없는 성적인욕
3. 희롱하는 말들. 애교부려라 신음소리내봐라같은
살려주세요"
"25","#94626번째울림
2017. 09. 20. 오전
<학교>
개강한지 별로 안된거 같은데 중간시험 한달남았음ㅋ..."
"26","#94625번째울림
2017. 09. 19. 오후
<사랑>
사랑하는 사람에 대한 애정?설렘?이 샘솟을 수 있는 노래 추천 부탁드려요!
남자친구 군대에 보내고 들을만한 노래요... 꽤 오랫동안 못보고 있어서 남자친구를 생각할 수 있는 노래들이 필요해서요 ㅠㅠ"
"27","#94624번째울림
2017. 09. 19. 오후
<사는얘기>
나는 쫄보다. 잘생겨지고 싶지만 잘생겨질 용기가 없다.
솔직히 안경 벗고 거울을 볼 땐 내 모습이 맘에 든다. 근데 사진을 찍으면 웬 눈 째진 못생긴 남자가 찍혀있다. 아마 내 시력이 나빠서 거울로 보면 잘생겨 보이나 보다.
그래서 한달에 10번정도는 성형을 생각한다. 눈,코,윤곽. 진짜진짜 엄청 성형하고 싶은 마음이 들고, 몇 월까지 얼마 모아서 언제 해야지!라고 마음까지 다잡아도 수술 후의 부작용, 혹은 정작 의사들은 수술을 안하는지 생각해보면 결국 무서워서 그 마음도 접게된다. 결국 답은 화장같지만 남자의 메이크업으론 약간 한계가 있다. (너무 과하면 별로임.) 
나는 잘생겨지고 싶지만 잘생겨질 용기는 없는 패러독스에 빠졌다.
정답은 뭘까? 다시 태어나는건가? 사람들은 생긴대로 살라고 하지만 그렇게 하긴 싫다.
남에게 잘 보이려고 잘생겨지려는 것도 아니고 자기만족을 위해 잘생겨지려는건데....
그냥 속 시원하게 의사분들이 부작용에 대해 설명하고 부작용이 생길 시 어떻게든 완치시켜주겠다는 서약해주면 좋겠다.....그럼 바로 성형할텐데...ㅜㅜㅜㅜㅜ 하지만 불가능하겠지?
머릿속이 복잡하다."
"28","#94623번째울림
2017. 09. 19. 오후
<사는얘기>
***에 들어와 이제 슬슬 익숙해지기 시작했다.
그런데 여기에서조차 예쁜 학우분들이 많이 보인다.
어메이징 성대 클라스...."
"29","#94622번째울림
2017. 09. 19. 오후
<저.. 진지합니다>
저 진짜 병있는 것 같아요..
이제 4살인 조카가 미안한데 정말 못생겼거든요..
조카면 예쁘다고 해줄법한데 왜 입에서 말이 안 나올까요??
새언니도 많이 속상해하는 것 같아요..
미안해서 없는 돈이라도 용돈 챙겨주려고 하고 있어요.
솔직히 원하는 건 돈이 아니라는 거 알아요, 예쁘다거나 귀엽다는 말이겠죠..
근데 차마 입이 안 떨어져요.. 진짜 왜 이러죠??
그리고 친구들이 이쁘다는 말 원하고 물어볼 때 있잖아요
제 눈에 예쁜 친구들한테는 그런 말 해주는데, 
정말 아닌 것 같은 사람한테는 절대 그렇게 말 안 해줘요..
차마 못하겠어요 진짜..
정말 심각하게 제 스스로가 너무 인색한 것 같아서 고치려고 했는데요,
진짜 안 고쳐져요...병인가요?? 
이런 거 고치신 분들 없나요?? 저 진짜 진지해요.. 알려주세요.."
"30","#94621번째울림
2017. 09. 20. 오전
<사랑>
3살 많은 누나가 좋은 건 왜일까요...?"
"31","#94620번째울림
2017. 09. 19. 오후
<저.. 진지합니다>
나는 학창시절부터 불같은 성격이었다. 불의를 보면 참지 못하고, 내 할말은 해야했다. 계란으로 바위치기라도 수백 수천번쯤 내리치면 제 아무리 바위라도 금은가지 않겠냐며 온갖 부정한 것들에 저항했다. 그런 나에게 돌아오던 반응들은 철없는 낭만가라거나 참는법을 배우라거나 타인을 이해하는 방법들을 배우라는 것이었다. 난 점점 유해졌고 세상에 사정없는 사람은 없고, 내가 주장하는게 항상 선이지 않을 수도 있다는 사실을 깨달았다. 너무 곧은 대나무 같아서 꺾일까봐 두럽다며 버들나무 같이 유하게 오래 살아가는게 내가 추구하는 가치를 만드는데 더 효과적인 방법이라고 말할때, 난 차라리 두번 세번 꺾여도 다시 자라는 대나무가 될거라고 당당하게 이야기하던 소년이, 바위를 계란으로 깨부셔보겠다던 소년이, 뿌리를 단단하게 내린 버들나무가 더 질기다는 것을 유하게 흐르는 물이 단단한 바위를 깨버린다는 것을 받아들였다. 대놓고 으르렁 대는 것보다, 웃으며 구슬리는게 내가 원하는 정의로운 사회를 만드는 법이라고 나에게 그렇게 강요하고 이야기 하던 사람들이 왜 이제 나보고 가만히 있냐고 질책한다. 아.. 난 굴복한게 아닌데 난 2를 얻기 위해선 1을 내주는게 세상의 이치란걸 나의 2x년간의 삶에서 뼈져리게 깨달아 버렸을 뿐인데 왜 난 그들에게 비겁자가 되버린걸까. 내가 그렇게 목소리를 낼때 나의 목소린 못본채 하던 사회가..불의를 보고 떠들어 댈때 조용히 하라던 사회가 날 비겁자로 만든다. 특히 요즈음의 여성주의적 담론에서 더욱 더 그러하다. 내가 그들을 이해하고 인정한다. 그들의 목소리에 힘을 실어주고 싶고 그들이 나에게 하는 비판들도 이해한다. 난 그저 그들이 더 행복하고 더 건강하고 누구보다도 더 추구하는 가치를 이루길 원하는 사람이다. 그들에게 나의 생각을 이야기하면 나에게 당신이 약자이지 않아서 할 수 있는 이야기라고 한다. 아!! 나의 모습이었구나.. 나도 정말 대쪽같았는데.. 그래서 너무 상처받은건데.. 그 상처가 너무 아팠는데.. 저들이 그러지 않았음 좋겠다는 내 마음이 매도 되는게 슬프고. 그런 나를 매도하는게 너무 슬프다. 물론 불같은 사람도 필요하다. 반드시 필요하다. 그들은 박수받아 마땅하다. 하지만 그 극단에 서 있는 사람이 필요하듯, 반대 극단에 서있는 사람과 대화할 사람도 필요하다는 것을 왜 인정하지 못하는 걸까. 이미 수많은 대화를 시도했기 때문에? 그렇다면 그 대화의 창은 의미가 없고 폐기해야하는건가. 아무리 기울어진 운동장이라도 중심은 필요하다. 그저 내가 무섭고 경계하는건 대나무가 상처받고 꺾여버리는 것인데 그 대나무가 죽창이 되어 자신이 아니면 적이라고 찔러대는것 같아 너무 아프다. 아.. 내가 원한적 없는 강자의 입장에 태어난 대가인가? 그렇기 때문에 난 오늘도 그들이 적대적일 수 밖에 없다는걸 받아드리려 애쓴다. 내가 어쩔 수 없는 강자의 입장이니까.."
"32","#94619번째울림
2017. 09. 19. 오후
<저.. 진지합니다>
'ㅂㅅ'은 장애인 비하 단어입니다.
욕으로 쓰지 말아주세요"
"33","#94618번째울림
2017. 09. 18. 오전
<질문/건의/의견>
대하! 공과대학 소속 학생입니다.

타 단과대학 학생회의 활동을 보며 드는 생각을 제보합니다.

학생대표자회의? 같은걸 해서 사업보고도 하고 동아리들의 의견도 받는 것 같더라고요

공대페이지를 보았을 때는 이런 활동들이 없던데.. 관련 규정이 없는건지..

학생회가 간식주고 체육대회 주최하는 단체도 아니고 학생자치기구로서의 역할을 우선시하길 바랍니다.

저번 제보 보니깐 예결산도 안하는 것 같던데... 가장 규모가 큰 단과대학 학생 소속으로서 창피합니다.

다음 선거는 정말 잘 알아보고 투표해야겠네요."
"34","#94617번째울림
2017. 09. 19. 오후
<질문/건의/의견>
어쩌다가 이번 총학생회에서 공고한 ""총학생회칙 개정안""을 훑어봤는데요.
회칙개정안 제1장 제2조에 보면 성균관대학교 건학이념을 ""인의예지""라고 쓰셨는데
우리 학교 건학이념은 ""수기치인"" 아닌가요?
 ""인의예지""는 교시고요...
제가 잘못알고 있나해서 학교 홈페이지 가서 확인해보니까 건학이념은 ""수기치인""이 맞더군요.
뭐 교시나 건학이념이나 큰 차이는 없지만 그래도 ""학생회칙""인데 보다 적확한 것이 좋다고 생각합니다.
근데 전학대회에서 별말없이 그냥 통과된 것을 보면 저만 신경쓰는 것 같기도 하네요. 그래서 조심스럽게 대숲을 통하여 말하여봅니다.
다른 분들은 어찌 생각하시나요?"
"35","#94616번째울림
2017. 09. 19. 오후
<사랑>
안녕하세요.
바로 본론으로 들어갈게요.
여자친구가 연락이 잘 안돼요 ㅠㅠ
유럽여행 중이라 그래요
여행도 하고, 맛있는 것도 먹고, 피곤해서 낮잠 자야하고 그래야 하는거 다 알아서 이해해요.
그래도 연락이 잘 되었으면 좋겠어요.
자기가 뭘 했다고 대답만 하는 것 보다, 내가 뭘 하고있는지, 오늘 하루는 어땠는지 물어봐 주었으면 해요. 지금은 내가 먼저 말하거든요. 여자친구는 최소한의 답장만 해요.
어디가는중이야. 밥먹는중. 숙소에 도착했음! 그런거 있잖아요.
어떤 것을 보니 오빠 생각이 났어. 
또는 무엇을 보는데 오빠랑 보면 좋았을텐데.. 이런걸 먼저 물어봐줬으면 해요. 
대숲보고 눈치채면 어떡하죠? 
그럴거같아요 제 여자친구는 똑똑하고 눈치가 빠르거든요..

그런데 문득 궁금하네요
여러분들은 여자친구가 있으신가요? ㅋ
여러분의 사랑을 위해 카테고리는 사랑."
"36","#94615번째울림
2017. 09. 19. 오전
<사는얘기>
아니 교수님 음악회 갈게요
필참은 아니어도 과제인정해주신다고 강조하셨으니
갈테니깐 새벽 1시에 학교문자는 너무한 것 아닙니까...

새벽 1시 문자는 상사도 교수님도 니니하십니다..ㅠㅠ"
"37","#94614번째울림
2017. 09. 19. 오전
<사랑>
취해서 내 머리 쓰다듬지마요
헷갈려"
"38","#94613번째울림
2017. 09. 19. 오후
<사랑>
21살인 누나들이 너무 좋아요"
"39","#94612번째울림
2017. 09. 19. 오후
<사랑>
너는 마치 미엘린같이
내 신경 하나 하나를 감싸온다"
"40","#94611번째울림
2017. 09. 19. 오후
<사는얘기>
그래도 어떤 이는 약을 건네주었네
삼키는척하다 이내 뱉어버렸어"
"41","#94610번째울림
2017. 09. 19. 오후
<사는얘기>
오늘 오후에 비온다던데 디도앞 고양이들 비 피할곳은 있을까요? 따로 집 같아 보이는곳은 없던데..."
"42","#94609번째울림
2017. 09. 19. 오후
<인간관계>
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ야 아무리 그래도 그렇지 어떻게 평소에 톡 한번 안보내다가 과제할때마다

이거 어떻게 함?

만 찍어서 톡 보내면 알려주는 사람 매번 기분 참 좋겠다? 물어볼때마다 아는 선에서 다 알려주니까 내가 호구같지?"
"43","#94608번째울림
2017. 09. 19. 오후
<사는얘기>
생일인데 같이학교다니는 인간들은 아무도 모른다.
그냥 잠이나 자야지
좀....슬프긴 하네"
"44","#94606번째울림
2017. 09. 19. 오후
<저.. 진지합니다>
산학협력을 하는 기업과 교수님께

학생들은 호구가 아닙니다. 기업을 체험하는 기회를 주는 척 하면서 값싼 인력 원하는대로 굴리지 마세요.

우리는 엄연히 등록금을 내고 그에 맞는 수업을 듣습니다.
그런데 왜 내 돈 써가면서 족히 5분은 걸릴 듯한 설문지 100개를 만들어서 가게마다 돌려야하는지 모르겠네요.

물론 당신들에겐 이득이 되겠지요.그런데 5분이나 걸리는 설문지를 아무 대가도 내지 않은 학생들에게 시간을 내서 해줄리가 없으니 학생들은 가게에서 돈을 씁니다.

한조당 100개 그리고 한조당 십만원의 지원금? 누가 해주겠어요? 그리고 계속해서 추가로 원하는 요소를 주시는데 담주까지 하라고 해놓고서 지금 이렇게 설문지 추가를 하면 어떡합니까.

일단 우리 학생들 선에서 이미지가 안좋아지네요. 
제대로된 피드백도 없고 그냥 값싼 인력이용해서 아이디어 빼먹고 설문조사 돌려서 정보 가져가려는걸로만 보이네요.
역시 학생은 호구로 보이나. 등록금 내고 설문조사 하려고 돈쓰고 걍 우리는 호구인가봅니다."
"45","#94605번째울림
2017. 09. 19. 오전
<사는얘기>
안보겠다고 다짐했지만 차마 차단할 수 없어 숨김친구로 해놓은 너, 아이유 좋아했으니 신곡으로 프로필 음악이 바뀌었겠구나 싶어 참다 못해 친구 관리로 가 너의 프로필들을 확인하고 내 예상이 맞았다고 흡족해 했다. 그 후 '이젠 다신 프로필 안볼거야 '라고 말을 하지만 미래의 또다른 나는 이 결심을 까먹을 것이다. 여하튼 너의 프로필 음악인 '가을아침', 한번 듣고, 두번 듣는다. 씻을때도, 페북할때도, 사소한 것들을 할때도 계속 틀어놓으며 너와 조금 더 가까워 지려고 노력한다. 내가 할 일, 공부들을 끝내고도 자기전에 누워 또 한번만 듣고 자리라 결심한다. 그렇게 노래가 끝나고 핸드폰에서 이어폰을 뺐다가, 싱긋 웃으며 다시 끼고 재생버튼을 누른다. ""이른 아침 작은 새들...."" 보고싶다."
"46","#94604번째울림
2017. 09. 19. 오전
<질문/건의/의견>
특이한 걸 좋아하는 성격입니다. 슬프면서 파워풀한 계열의 노래 추천 좀 해주세요!

 예를 들면 팝가수 Sia의 노래 중 대표적으로 confetti 같은 노래있잖아요?"
"47","#94603번째울림
2017. 09. 19. 오전
<사는얘기>
예수천국 불신지옥을 외치는 이들만 봐도 그런 전도 행위는 아무런 의미도 없고 이미지만 깎아먹고 같은 기독교 내에서도 싫어할 행동이라 생각된다.

정치든 어떤 이념이든 틀린 이념은 없지만 그 이념이 사회적으로 도태되는 이유는 나만 옳다는 자만에 빠져있어서 너무 극단주의적 행동으로 싸우기만
하기 때문이라고 생각한다. 그리고 '큰 틀에서 같은 편이니까'라는 이유로 극진 운동에 비판하지 못하는 온건파도 결국 극단주의적 행동을 지지하는 것과 다를바 없다고 생각한다"
